"trial","ref_position","var_area","response","correct","rt"
1,"L",11.3896284499206,"L",FALSE,8.61800003051758
2,"R",12.9878391996026,"L",TRUE,5.125
3,"R",13.7367180364672,"L",TRUE,1.39800000190735
4,"L",11.2498379216995,"L",FALSE,1.09599995613098
5,"R",11.2047137233894,"R",FALSE,1.70099997520447
6,"L",12.8931702962145,"L",FALSE,1.39499998092651
7,"L",9.83887504483573,"R",TRUE,1.09599995613098
8,"L",9.40315001062118,"L",FALSE,1.29999995231628
9,"L",14.5222688959911,"L",FALSE,1.09200000762939
10,"L",12.5510830159765,"R",TRUE,2
11,"L",10.762969062198,"R",TRUE,0.590000152587891
12,"R",11.0348165477626,"R",FALSE,0.280999898910522
13,"R",14.2780429329723,"R",FALSE,0.299000024795532
14,"R",11.1742299254984,"R",FALSE,0.197000026702881
15,"R",13.233603722183,"R",FALSE,0.301000118255615
16,"L",14.1368489372544,"R",TRUE,0.102999925613403
17,"L",11.4862319317181,"R",TRUE,0.29800009727478
18,"L",13.6568723383825,"R",TRUE,0.299999952316284
19,"L",9.67752079619095,"R",TRUE,0.197000026702881
20,"L",12.3693472263403,"R",TRUE,0.143999814987183
