"trial","ref_position","var_area","response","correct","rt"
1,"R",8.68694683583453,"L",FALSE,2.56500005722046
2,"L",9.65763925947249,"L",FALSE,4.73199987411499
3,"L",10.7647465851624,"L",FALSE,1.86899995803833
4,"L",8.98621248221025,"L",TRUE,2.83200001716614
5,"L",9.40020711324178,"R",TRUE,1.95300006866455
6,"L",14.2765076428186,"R",TRUE,2.43400001525879
7,"L",10.8566932452377,"L",FALSE,1.35300016403198
8,"R",9.56000103289261,"R",FALSE,2.71700000762939
9,"L",8.61663039587438,"R",FALSE,1.24399995803833
10,"R",10.5986822964624,"R",FALSE,1.23200011253357
11,"R",10.7707979462575,"R",FALSE,1.23399996757507
12,"R",8.95965615427122,"L",FALSE,1.00999999046326
13,"L",9.5689137452282,"R",TRUE,2.95799994468689
14,"L",13.9890773247462,"R",TRUE,0.73199987411499
15,"L",10.596703320276,"R",TRUE,0.821000099182129
16,"L",9.90997316502035,"L",FALSE,1.45799994468689
17,"R",13.185217898339,"L",TRUE,0.690999984741211
18,"R",11.5046490572859,"L",TRUE,0.710000038146973
19,"R",10.5511366664432,"L",TRUE,1.22000002861023
