"trial","ref_position","var_area","response","correct","rt"
1,"R",12.5686598140746,"L",TRUE,8.88699984550476
2,"L",13.8020188086666,"R",TRUE,1.58999991416931
3,"L",13.1413811589591,"R",TRUE,1.18500018119812
4,"L",12.5905772889964,"R",TRUE,0.894000053405762
5,"R",9.35948763857596,"R",FALSE,1.60199999809265
6,"R",10.0884518143721,"L",TRUE,1.29499983787537
7,"R",12.0070036237594,"L",TRUE,1.1969997882843
8,"R",11.1572466699872,"L",TRUE,1.28900003433228
9,"R",11.5712159345858,"L",TRUE,1.2960000038147
10,"R",13.5508752577007,"L",TRUE,0.986000061035156
11,"L",11.4324075032491,"R",TRUE,1.09100008010864
12,"R",13.7907737258356,"L",TRUE,1.00099992752075
13,"L",9.64883359824307,"R",TRUE,0.990000009536743
14,"L",11.8008171238471,"R",TRUE,1.09499979019165
15,"R",13.4873467034195,"L",TRUE,1.18499994277954
16,"R",10.9597676284611,"L",TRUE,1.09599995613098
17,"R",11.0361715690233,"L",TRUE,1.09800004959106
18,"L",11.5827035256661,"R",TRUE,1.29099988937378
19,"R",9.9304176592268,"R",FALSE,1.99699997901917
20,"R",9.31455728714354,"R",FALSE,2.09899997711182
21,"L",14.3850547019392,"R",TRUE,1.18900012969971
22,"L",9.42157278512605,"R",TRUE,4.49000000953674
23,"R",8.523098138161,"R",TRUE,0.983000040054321
24,"R",9.86257106461562,"R",FALSE,5.39800000190735
