"trial","ref_position","var_area","response","correct","rt"
1,"L",9.93471747171134,"L",FALSE,0.847000122070312
2,"R",11.5711017220747,"R",FALSE,3.40999984741211
3,"R",9.40127849788405,"R",FALSE,1.05999994277954
4,"L",14.339158634888,"R",TRUE,0.946000099182129
5,"R",14.7597818095237,"R",FALSE,0.950999975204468
6,"R",14.2697652126662,"R",FALSE,0.825999975204468
7,"R",14.7273501632735,"R",FALSE,0.942999839782715
8,"R",11.544299083529,"R",FALSE,1.07599997520447
9,"R",9.19561384501867,"R",FALSE,1.04999995231628
10,"L",14.2846022436861,"R",TRUE,1.28200006484985
11,"L",8.30953109823167,"R",FALSE,1.50500011444092
12,"L",10.7294350143056,"R",TRUE,0.952000141143799
13,"L",8.71768623427488,"R",FALSE,0.721999883651733
14,"R",14.6431003413163,"L",TRUE,0.486999988555908
15,"R",11.6055592179764,"L",TRUE,0.378999948501587
16,"L",13.7938589239493,"L",FALSE,0.607999801635742
17,"L",10.378998567583,"R",TRUE,0.830999851226807
18,"R",12.6564087613951,"R",FALSE,0.597000122070312
19,"R",8.65293392562307,"L",FALSE,0.476999998092651
20,"L",12.9275324349292,"R",TRUE,0.602999925613403
21,"L",13.4481952993665,"R",TRUE,1.83400011062622
