"trial","ref_position","var_area","response","correct","rt"
1,"L",10.0584586118348,"R",TRUE,2.01199984550476
2,"R",12.4799163620919,"R",FALSE,0.277999877929688
3,"R",12.5339597805869,"L",TRUE,7.35800004005432
4,"R",11.5112588140182,"L",TRUE,1.99399995803833
5,"R",13.0740495612845,"L",TRUE,2
6,"R",9.21000095107593,"L",TRUE,4.57100009918213
7,"R",13.7436028765514,"L",TRUE,2.75499987602234
8,"L",8.03494982700795,"L",TRUE,4.68199992179871
9,"L",14.0141230411828,"R",TRUE,2.40799999237061
10,"L",14.9946555187926,"R",TRUE,1.90100002288818
11,"L",12.2341178790666,"R",TRUE,1.77400016784668
12,"L",8.35984591185115,"R",FALSE,2.42400002479553
13,"L",11.5745922469068,"R",TRUE,2.11800003051758
14,"R",13.2115431821439,"L",TRUE,2.74000000953674
15,"R",13.8576687173918,"L",TRUE,1.68600010871887
16,"R",11.6645641454961,"L",TRUE,2.10800004005432
17,"L",14.5085839547683,"R",TRUE,2.30999994277954
18,"R",12.749752020929,"L",TRUE,2.11299991607666
19,"L",10.9635750902817,"R",TRUE,2.31100010871887
20,"R",13.5652844852302,"L",TRUE,2.6340000629425
21,"L",12.6872178800404,"R",TRUE,2.42700004577637
