"trial","ref_position","var_area","response","correct","rt"
1,"R",11.9431513377931,"L",TRUE,4.70700001716614
2,"L",14.9013887464534,"R",TRUE,1.79800009727478
3,"R",12.3243482694961,"L",TRUE,1.49899983406067
4,"R",11.7190523468889,"L",TRUE,1.09200000762939
5,"R",10.7889812472276,"L",TRUE,1.09899997711182
6,"R",13.6998519338667,"L",TRUE,1.29699993133545
7,"R",9.55321961757727,"L",TRUE,0.886999845504761
8,"R",9.40753426216543,"R",FALSE,1.79500007629395
9,"R",12.1222710208967,"L",TRUE,1.89000010490417
10,"R",10.5041468928102,"L",TRUE,1.18799996376038
11,"R",10.6540135797113,"L",TRUE,2.09899997711182
12,"R",8.09244363778271,"R",TRUE,1.69600009918213
13,"R",9.5161245863419,"L",TRUE,1.69400000572205
14,"R",11.3993548308499,"L",TRUE,1.50499987602234
15,"R",11.0893796749879,"L",TRUE,2.19199991226196
16,"R",9.06815293198451,"L",TRUE,1.49499988555908
17,"L",13.5258043590002,"R",TRUE,1.6010000705719
18,"R",11.5200518066995,"L",TRUE,2.09599995613098
19,"L",10.1418632315472,"L",FALSE,1.18499994277954
20,"R",11.5256796735339,"L",TRUE,1.5019998550415
21,"L",8.51629883237183,"R",FALSE,1.78399991989136
22,"L",14.4775128499605,"R",TRUE,1.4909999370575
23,"R",12.6536933942698,"L",TRUE,2.19099998474121
24,"L",13.9378938477021,"R",TRUE,1.39800000190735
