"trial","ref_position","var_area","response","correct","rt"
1,"R",13.8820356926881,"L",TRUE,5.85899996757507
2,"R",11.86590409372,"R",FALSE,1.28200006484985
3,"L",8.56479778164066,"L",TRUE,0.896000146865845
4,"R",11.7863721267786,"L",TRUE,1.28299999237061
5,"R",9.53300692536868,"L",TRUE,0.994999885559082
6,"R",11.4924822654575,"R",FALSE,0.891000032424927
7,"L",10.1529494954739,"L",FALSE,0.876000165939331
8,"R",12.5738437764812,"R",FALSE,0.886000156402588
9,"L",8.16260220902041,"L",TRUE,0.779000043869019
10,"L",10.3073651690502,"R",TRUE,0.776999950408936
11,"R",11.27775497525,"L",TRUE,0.690000057220459
12,"R",12.8298870469444,"R",FALSE,0.795000076293945
13,"L",10.1552933643106,"L",FALSE,0.775000095367432
14,"L",12.9929815137293,"R",TRUE,0.779000043869019
15,"R",13.6250438473653,"L",TRUE,0.792999982833862
16,"R",9.04647023673169,"R",FALSE,0.789999961853027
17,"L",10.9185792382341,"L",FALSE,0.799999952316284
18,"R",10.8372263316996,"R",FALSE,0.793999910354614
19,"L",10.3327703638934,"L",FALSE,0.888999938964844
