"trial","ref_position","var_area","response","correct","rt"
1,"L",14.3384328214452,"R",TRUE,3.59500002861023
2,"L",14.0224732703064,"R",TRUE,3.81299996376038
3,"L",13.7036776903551,"R",TRUE,1.88899993896484
4,"R",12.8871549197938,"L",TRUE,2.20900011062622
5,"R",14.2494335146621,"L",TRUE,1.59500002861023
6,"L",11.3448717535939,"R",TRUE,1.99699997901917
7,"R",13.5368936364539,"L",TRUE,1.38599991798401
8,"L",8.34801923297346,"L",TRUE,3.0019998550415
9,"R",8.92500952491537,"L",FALSE,2.29399991035461
10,"R",11.2552259189542,"L",TRUE,2.29500007629395
11,"R",13.9730046417098,"L",TRUE,1.69000005722046
12,"R",12.7378351057414,"L",TRUE,1.79500007629395
13,"R",11.247291437583,"L",TRUE,1.99499988555908
14,"R",8.22443411662243,"R",TRUE,1.59400010108948
15,"R",12.7722243466415,"L",TRUE,1.49500012397766
16,"R",12.091685009189,"L",TRUE,1.69799995422363
17,"R",13.1176538614091,"L",TRUE,1.79500007629395
18,"R",14.1907010497525,"L",TRUE,1.79999995231628
19,"R",9.20422587124631,"L",TRUE,1.89800000190735
